source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[fractionation method]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
PXD030604-Sample-1	Homo sapiens	Cell culture	HCT116	epithelial	colorectal cancer	1	P20_010_SabineG_CerS4_shRNA_HCT116_F5_01	proteomic profiling by mass spectrometry	P20_010_SabineG_CerS4_shRNA_HCT116_F5_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/01/PXD030604/P20_010_SabineG_CerS4_shRNA_HCT116_F5_01.raw	1	F5	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000133;NT=CID	SDS-PAGE	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD030604-Sample-1	Homo sapiens	Cell culture	HCT116	epithelial	colorectal cancer	1	P20_010_SabineG_CerS4_shRNA_HCT116_F5_02	proteomic profiling by mass spectrometry	P20_010_SabineG_CerS4_shRNA_HCT116_F5_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/01/PXD030604/P20_010_SabineG_CerS4_shRNA_HCT116_F5_02.raw	1	F5	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000133;NT=CID	SDS-PAGE	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD030604-Sample-1	Homo sapiens	Cell culture	HCT116	epithelial	colorectal cancer	1	P20_010_SabineG_CerS5_shRNA_HCT116_F8_03_200328182716	proteomic profiling by mass spectrometry	P20_010_SabineG_CerS5_shRNA_HCT116_F8_03_200328182716.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/01/PXD030604/P20_010_SabineG_CerS5_shRNA_HCT116_F8_03_200328182716.raw	1	F8	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000133;NT=CID	SDS-PAGE	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD030604-Sample-1	Homo sapiens	Cell culture	HCT116	epithelial	colorectal cancer	1	P20_010_SabineG_NC_shRNA_HCT116_F2_01	proteomic profiling by mass spectrometry	P20_010_SabineG_NC_shRNA_HCT116_F2_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/01/PXD030604/P20_010_SabineG_NC_shRNA_HCT116_F2_01.raw	1	F2	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000133;NT=CID	SDS-PAGE	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD030604-Sample-1	Homo sapiens	Cell culture	HCT116	epithelial	colorectal cancer	1	P20_010_SabineG_CerS4_shRNA_HCT116_F9_02	proteomic profiling by mass spectrometry	P20_010_SabineG_CerS4_shRNA_HCT116_F9_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/01/PXD030604/P20_010_SabineG_CerS4_shRNA_HCT116_F9_02.raw	1	F9	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000133;NT=CID	SDS-PAGE	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD030604-Sample-1	Homo sapiens	Cell culture	HCT116	epithelial	colorectal cancer	1	P20_010_SabineG_CerS5_shRNA_HCT116_F7_03	proteomic profiling by mass spectrometry	P20_010_SabineG_CerS5_shRNA_HCT116_F7_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/01/PXD030604/P20_010_SabineG_CerS5_shRNA_HCT116_F7_03.raw	1	F7	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000133;NT=CID	SDS-PAGE	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD030604-Sample-1	Homo sapiens	Cell culture	HCT116	epithelial	colorectal cancer	1	P20_010_SabineG_CerS4_shRNA_HCT116_F6_01	proteomic profiling by mass spectrometry	P20_010_SabineG_CerS4_shRNA_HCT116_F6_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/01/PXD030604/P20_010_SabineG_CerS4_shRNA_HCT116_F6_01.raw	1	F6	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000133;NT=CID	SDS-PAGE	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD030604-Sample-1	Homo sapiens	Cell culture	HCT116	epithelial	colorectal cancer	1	P20_010_SabineG_CerS5_shRNA_HCT116_F7_01	proteomic profiling by mass spectrometry	P20_010_SabineG_CerS5_shRNA_HCT116_F7_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/01/PXD030604/P20_010_SabineG_CerS5_shRNA_HCT116_F7_01.raw	1	F7	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000133;NT=CID	SDS-PAGE	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD030604-Sample-1	Homo sapiens	Cell culture	HCT116	epithelial	colorectal cancer	1	P20_010_SabineG_NC_shRNA_HCT116_F8_01	proteomic profiling by mass spectrometry	P20_010_SabineG_NC_shRNA_HCT116_F8_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/01/PXD030604/P20_010_SabineG_NC_shRNA_HCT116_F8_01.raw	1	F8	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000133;NT=CID	SDS-PAGE	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD030604-Sample-1	Homo sapiens	Cell culture	HCT116	epithelial	colorectal cancer	1	P20_010_SabineG_CerS5_shRNA_HCT116_F5_02	proteomic profiling by mass spectrometry	P20_010_SabineG_CerS5_shRNA_HCT116_F5_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/01/PXD030604/P20_010_SabineG_CerS5_shRNA_HCT116_F5_02.raw	1	F5	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000133;NT=CID	SDS-PAGE	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD030604-Sample-1	Homo sapiens	Cell culture	HCT116	epithelial	colorectal cancer	1	P20_010_SabineG_CerS4_shRNA_HCT116_F10_03	proteomic profiling by mass spectrometry	P20_010_SabineG_CerS4_shRNA_HCT116_F10_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/01/PXD030604/P20_010_SabineG_CerS4_shRNA_HCT116_F10_03.raw	1	F10	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000133;NT=CID	SDS-PAGE	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD030604-Sample-1	Homo sapiens	Cell culture	HCT116	epithelial	colorectal cancer	1	P20_010_SabineG_CerS5_shRNA_HCT116_F1_01	proteomic profiling by mass spectrometry	P20_010_SabineG_CerS5_shRNA_HCT116_F1_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/01/PXD030604/P20_010_SabineG_CerS5_shRNA_HCT116_F1_01.raw	1	F1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000133;NT=CID	SDS-PAGE	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD030604-Sample-1	Homo sapiens	Cell culture	HCT116	epithelial	colorectal cancer	1	P20_010_SabineG_CerS4_shRNA_HCT116_F4_04	proteomic profiling by mass spectrometry	P20_010_SabineG_CerS4_shRNA_HCT116_F4_04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/01/PXD030604/P20_010_SabineG_CerS4_shRNA_HCT116_F4_04.raw	1	F4	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000133;NT=CID	SDS-PAGE	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD030604-Sample-1	Homo sapiens	Cell culture	HCT116	epithelial	colorectal cancer	1	P20_010_SabineG_NC_shRNA_HCT116_F7_04	proteomic profiling by mass spectrometry	P20_010_SabineG_NC_shRNA_HCT116_F7_04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/01/PXD030604/P20_010_SabineG_NC_shRNA_HCT116_F7_04.raw	1	F7	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000133;NT=CID	SDS-PAGE	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD030604-Sample-1	Homo sapiens	Cell culture	HCT116	epithelial	colorectal cancer	1	P20_010_SabineG_NC_shRNA_HCT116_F6_01	proteomic profiling by mass spectrometry	P20_010_SabineG_NC_shRNA_HCT116_F6_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/01/PXD030604/P20_010_SabineG_NC_shRNA_HCT116_F6_01.raw	1	F6	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000133;NT=CID	SDS-PAGE	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD030604-Sample-1	Homo sapiens	Cell culture	HCT116	epithelial	colorectal cancer	1	P20_010_SabineG_CerS5_shRNA_HCT116_F8_02	proteomic profiling by mass spectrometry	P20_010_SabineG_CerS5_shRNA_HCT116_F8_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/01/PXD030604/P20_010_SabineG_CerS5_shRNA_HCT116_F8_02.raw	1	F8	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000133;NT=CID	SDS-PAGE	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD030604-Sample-1	Homo sapiens	Cell culture	HCT116	epithelial	colorectal cancer	1	P20_010_SabineG_CerS5_shRNA_HCT116_F4_01	proteomic profiling by mass spectrometry	P20_010_SabineG_CerS5_shRNA_HCT116_F4_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/01/PXD030604/P20_010_SabineG_CerS5_shRNA_HCT116_F4_01.raw	1	F4	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000133;NT=CID	SDS-PAGE	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD030604-Sample-1	Homo sapiens	Cell culture	HCT116	epithelial	colorectal cancer	1	P20_010_SabineG_CerS5_shRNA_HCT116_F8_04_200329055505	proteomic profiling by mass spectrometry	P20_010_SabineG_CerS5_shRNA_HCT116_F8_04_200329055505.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/01/PXD030604/P20_010_SabineG_CerS5_shRNA_HCT116_F8_04_200329055505.raw	1	F8	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000133;NT=CID	SDS-PAGE	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD030604-Sample-1	Homo sapiens	Cell culture	HCT116	epithelial	colorectal cancer	1	P20_010_SabineG_NC_shRNA_HCT116_F3_04	proteomic profiling by mass spectrometry	P20_010_SabineG_NC_shRNA_HCT116_F3_04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/01/PXD030604/P20_010_SabineG_NC_shRNA_HCT116_F3_04.raw	1	F3	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000133;NT=CID	SDS-PAGE	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD030604-Sample-1	Homo sapiens	Cell culture	HCT116	epithelial	colorectal cancer	1	P20_010_SabineG_CerS5_shRNA_HCT116_F5_04	proteomic profiling by mass spectrometry	P20_010_SabineG_CerS5_shRNA_HCT116_F5_04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/01/PXD030604/P20_010_SabineG_CerS5_shRNA_HCT116_F5_04.raw	1	F5	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000133;NT=CID	SDS-PAGE	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
